Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.127136676669994,0.0848931987803179,0.0503804848667029,0,0,0,2.9307309910315,0.00625087610267153,-6.85311265910123E-07,-1.93401701807652E-05,0.00559017563374933,-3.48451407862527E-07,0.0111803411716523,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140333,0.00297622851896683,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.64845302056303E-08,-1.56454773175219E-07,1.62632133784213E-05,2.96411876511223E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,-0.0590436140506664,0.167403640036847,-0.0365027479853973,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,-6.93889390390723E-18,0,0,0,0,0.767080911081153,0.00116426102407189,-1.25105048588131E-22,-1.83311841364852E-20,0.000639661580367031,-6.7762635780344E-21,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.0633463599631527,-0.00679803845222955,0.0150436140506676,-1.62639053095063,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707058,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056309E-08,1.56454773175212E-07,1.62632133784213E-05,-2.96411876510575E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,fixed,-0.10807301742029,-0.0277812360620481,-0.0192156081309484,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,-3.46944695195361E-18,0,0,0,0,0.767080911081152,0.00116426102407189,-4.9281223125782E-37,4.60638074444741E-39,0.000639661580367031,-5.25031148738029E-37,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.0369687639379516,-0.0240836054314246,0.0640730174202912,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-4.7988246709707E-10,-0.023473389822872,-1.16815021544703E-09,0,0,0,0.0835358720814331,7.72968060896302E-05,-8.60478095920736E-13,1.40586689563478E-13,5.13820931926884E-05,-5.06559896292166E-12,7.73952626484255E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,Axis_LBS,LBS,fixed,-0.201999999999999,0.24575,-0.0125623205686227,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LBW,0,0,-2.77555756156289E-17,0,0,0,0.299097213540614,0.000107128427988291,-7.7154576721694E-22,-6.56176679301773E-22,0.000109833959413418,-8.63231614238912E-20,0.000107128427988291,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,fixed,0,-0.0557376794313771,0,3.14159265358979,0,1.5707963267949,LBS,1,0,0,,,,,,,,,,,,
RBS,-4.79882529547115E-10,-0.0234733898228721,-1.16815021544703E-09,0,0,0,0.0835358720814329,7.72968060896302E-05,-8.60478108764943E-13,1.40586703370834E-13,5.13820931926882E-05,-5.06559895626332E-12,7.73952626484254E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,Axis_RBS,RBS,fixed,-0.201999999999999,-0.0797499999999997,-0.0125623205686228,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
RBW,-6.93889390390723E-18,-6.93889390390723E-18,0,0,0,0,0.299097213540614,0.000107128427988291,1.42968110446033E-21,-2.66815378385127E-22,0.000109833959413418,-8.63398373850403E-20,0.000107128427988291,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,fixed,0,-0.0557376794313771,0,0,0,-1.5707963267949,RBS,-1,0,0,,,,,,,,,,,,
fcam,-0.0115544746517359,-2.64429642848896E-06,0.00129029302682179,0,0,0,0.0436119957238952,2.35707061906175E-05,-1.01842273865778E-09,2.17585832536658E-08,4.29479050056035E-06,-8.85018118759436E-10,2.21058153511886E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,Axis_fcam,fcam,fixed,-0.00388228567653657,0.0830000000000005,0.129817093613409,0,0.261799387799143,0,base_link,0,0,0,,,,,,,,,,,,
